table	index	category	japanese	machine_english_reference	professional_translation	translator_notes	english_raw_codes
byte	338	item/name	あおいかぎ	Blue Key			27 4D 56 46 01 30 46 5A
byte	339	item/name	あかいかぎ	Red Key			35 46 45 01 30 46 5A
byte	340	item/name	バロンのめ	Baron's Eye			27 42 53 50 4F 16 54 01 2A 5A 46
byte	341	item/name	サジクのてがみ	Sajik's Letter			0D 42 4B 4A 4C 16 54 01 0C 46 55 55 46 53
byte	342	item/name	せきばん	Stone Tablet			0D 55 50 4F 46 01 36 42 43 4D 46 55
byte	343	item/name	まものエキス	Monster Extract			31 50 4F 54 55 46 53 01 2A 59 55 53 42 44 55
byte	344	item/name	こだいのほん	Ancient Book			26 4F 44 4A 46 4F 55 01 27 50 50 4C
byte	345	item/name	ホワイトボール	White Ball			39 49 4A 55 46 01 27 42 4D 4D
byte	346	item/name	ブラックボール	Black Ball			27 4D 42 44 4C 01 27 42 4D 4D
byte	347	item/name	ラムスのぞう	Ramus Statue			35 42 4E 56 54 01 0D 55 42 55 56 46
byte	348	item/name	ふるいちず	Old Map			33 4D 45 01 31 42 51
byte	349	item/name	ふるいじゅうたん	Old Carpet			33 4D 45 01 28 42 53 51 46 55
byte	350	item/name	まほうじゅうたん	Magic Carpet			31 42 48 4A 44 01 28 42 53 51 46 55
byte	351	item/name	こおりのかぎ	Ice Key			2E 44 46 01 30 46 5A
word	0	dynamic phrase	お嬢さん	Miss			031 04A 054 054 1C0
word	1	dynamic phrase	おニイさん	Mister			031 04A 054 055 046 053 1C0
word	2	dynamic phrase	おじいさん	Old-timer			033 04D 045 01C 055 04A 04E 046 053 1C0
word	3	dynamic phrase	お嬢ちゃん	Missy			031 04A 054 054 05A 1C0
word	4	dynamic phrase	色男	Handsome			02D 042 04F 045 054 050 04E 046 1C0
word	5	dynamic phrase	じいさん	Old man			033 04D 045 001 04E 042 04F 1C0
