table	index	category	prefix_rom_offset	data_rom_offset	stored_bytes	raw_symbols	text
byte	300	item/name	0x0D89A4	0x0D89A5	8	4B 70 49 84 2D 12	コックぼう
byte	301	item/name	0x0D89AC	0x0D89AD	9	83 5C 56 84 2D 12 1B	ピナぼうし
byte	302	item/name	0x0D89B5	0x0D89B6	11	54 6F 84 47 6C 6F 5B 70 55	テンガロンハット
byte	303	item/name	0x0D89C0	0x0D89C1	10	6B 84 54 75 44 77 70 52	レディウォッチ
byte	304	item/name	0x0D89CA	0x0D89CB	7	5E 6A 63 70 55	ヘルメット
byte	305	item/name	0x0D89D1	0x0D89D2	11	84 4B 78 6A 84 55 5B 70 55	ゴールドハット
byte	306	item/name	0x0D89DC	0x0D89DD	10	84 5E 84 5C 78 60 4E 49	ベビーマスク
byte	307	item/name	0x0D89E6	0x0D89E7	10	52 71 43 56 84 2D 12 1B	チャイナぼうし
byte	308	item/name	0x0D89F0	0x0D89F1	10	4D 42 59 6A 69 84 5F 6F	シアネルリボン
byte	309	item/name	0x0D89FA	0x0D89FB	12	84 5E 6A 4C 52 4E 4B 70 83 5D	ベルサチスコップ
byte	310	item/name	0x0D8A06	0x0D8A07	6	14 17 1C 37	おくすり
byte	311	item/name	0x0D8A0C	0x0D8A0D	9	84 23 17 20 40 12 3B	どくちゅうわ
byte	312	item/name	0x0D8A15	0x0D8A16	6	60 5C 5A 6F	マヒノン
byte	313	item/name	0x0D8A1B	0x0D8A1C	6	14 2B 84 1F	おふだ
byte	314	item/name	0x0D8A21	0x0D8A22	9	4E 83 5D 69 6F 84 49	スプリング
byte	315	item/name	0x0D8A2A	0x0D8A2B	8	2E 15 11 28 25 17	まかいのにく
byte	316	item/name	0x0D8A32	0x0D8A33	11	60 84 4D 70 49 44 77 78 51	マジックウォータ
byte	317	item/name	0x0D8A3D	0x0D8A3E	9	54 6B 4D 73 70 83 5D	テレショップ
byte	318	item/name	0x0D8A46	0x0D8A47	8	84 4A 62 14 15 1B	ゲムおかし
byte	319	item/name	0x0D8A4E	0x0D8A4F	11	83 5B 6D 78 52 71 78 84 4D	パワーチャージ
byte	320	item/name	0x0D8A59	0x0D8A5A	10	47 84 4D 5A 28 4B 43 6F	カジノのコイン
byte	321	item/name	0x0D8A63	0x0D8A64	11	2A 15 38 84 5C 78 84 51 60	ひかるビーダマ
byte	322	item/name	0x0D8A6E	0x0D8A6F	8	52 47 6A 4D 44 62	チカルシウム
byte	323	item/name	0x0D8A76	0x0D8A77	11	52 71 78 84 4D 6F 84 47 62	チャージンガム
byte	324	item/name	0x0D8A81	0x0D8A82	9	52 73 4B 6B 78 51 62	チョコレータム
byte	325	item/name	0x0D8A8A	0x0D8A8B	11	60 84 4D 48 71 6F 84 54 78	マジキャンデー
byte	326	item/name	0x0D8A95	0x0D8A96	11	68 43 84 5D 42 84 4A 43 6F	ライブアゲイン
byte	327	item/name	0x0D8AA0	0x0D8AA1	10	4F 6F 55 44 77 78 51 78	セントウォーター
byte	328	item/name	0x0D8AAA	0x0D8AAB	10	6A 43 4E 44 75 70 83 5D	ルイスウィップ
byte	329	item/name	0x0D8AB4	0x0D8AB5	11	84 5B 69 42 44 75 70 83 5D	バリアウィップ
byte	330	item/name	0x0D8ABF	0x0D8AC0	10	4E 5A 44 44 75 70 83 5D	スノウウィップ
byte	331	item/name	0x0D8AC9	0x0D8ACA	6	84 5C 84 4C	ビザ
byte	332	item/name	0x0D8ACF	0x0D8AD0	8	17 3A 11 15 84 16	くろいかぎ
byte	333	item/name	0x0D8AD7	0x0D8AD8	11	1C 11 84 23 12 28 15 84 16	すいどうのかぎ
byte	334	item/name	0x0D8AE2	0x0D8AE3	11	25 40 12 84 1B 41 12 18 3D	にゅうじょうけん
byte	335	item/name	0x0D8AED	0x0D8AEE	12	4A 78 84 5D 6A 28 16 3E 83 2B	ケーブルのきっぷ
byte	336	item/name	0x0D8AF9	0x0D8AFA	9	84 5B 6C 6F 17 3D 06	バロンくん4
byte	337	item/name	0x0D8B02	0x0D8B03	9	12 13 16 84 29 1A 2F	うえきばさみ
byte	338	item/name	0x0D8B0B	0x0D8B0C	8	10 14 11 15 84 16	あおいかぎ
byte	339	item/name	0x0D8B13	0x0D8B14	8	10 15 11 15 84 16	あかいかぎ
byte	340	item/name	0x0D8B1B	0x0D8B1C	8	84 5B 6C 6F 28 31	バロンのめ
byte	341	item/name	0x0D8B23	0x0D8B24	11	4C 84 4D 49 28 22 84 15 2F	サジクのてがみ
byte	342	item/name	0x0D8B2E	0x0D8B2F	7	1D 16 84 29 3D	せきばん
byte	343	item/name	0x0D8B35	0x0D8B36	8	2E 32 28 45 48 4E	まものエキス
byte	344	item/name	0x0D8B3D	0x0D8B3E	9	19 84 1F 11 28 2D 3D	こだいのほん
byte	345	item/name	0x0D8B46	0x0D8B47	10	5F 6D 43 55 84 5F 78 6A	ホワイトボール
byte	346	item/name	0x0D8B50	0x0D8B51	11	84 5D 68 70 49 84 5F 78 6A	ブラックボール
byte	347	item/name	0x0D8B5B	0x0D8B5C	9	68 62 4E 28 84 1E 12	ラムスのぞう
byte	348	item/name	0x0D8B64	0x0D8B65	8	2B 38 11 20 84 1C	ふるいちず
byte	349	item/name	0x0D8B6C	0x0D8B6D	11	2B 38 11 84 1B 40 12 1F 3D	ふるいじゅうたん
byte	350	item/name	0x0D8B77	0x0D8B78	11	2E 2D 12 84 1B 40 12 1F 3D	まほうじゅうたん
byte	351	item/name	0x0D8B82	0x0D8B83	9	19 14 37 28 15 84 16	こおりのかぎ
word	0	dynamic phrase	0x0D91CA	0x0D91CB	11	0014 00D8 001A 003D 01C0	お嬢さん
word	1	dynamic phrase	0x0D91D5	0x0D91D6	13	0014 0057 0043 001A 003D 01C0	おニイさん
word	2	dynamic phrase	0x0D91E2	0x0D91E3	15	0014 0084 001B 0011 001A 003D 01C0	おじいさん
word	3	dynamic phrase	0x0D91F1	0x0D91F2	13	0014 00D8 0020 003F 003D 01C0	お嬢ちゃん
word	4	dynamic phrase	0x0D91FE	0x0D91FF	7	019E 0190 01C0	色男
word	5	dynamic phrase	0x0D9205	0x0D9206	13	0084 001B 0011 001A 003D 01C0	じいさん
